Name,Ort,Webseite,Twitterhandle,Akteurstyp,Experimentierfelder
Truly Media,"Bonn, Athen",https://truly.media,@trulymedia,Project,"Technology, Audience Relationship"
Übermedien,Berlin,https://uebermedien.de,"@uebermedien
@topfvollgold",Startup,"Content, Funding"
Ubermetrics,Berlin,https://www.ubermetrics-technologies.com/,@ubermetrics,Startup,Technology
Umatter.news,,https://umatter.news,"@umatternews
@stein_cedric",Startup,"Content, Audience Relationship"
Upday,Berlin,https://upday.com,@updayDE,Spin-off,Technology
Upspeak,Landau a.d.Isar,https://www.upspeak.de/de,@Upspeakapp,Startup,"Technology, Business Model"
Varia,München,https://www.varia.media/,@variamediagroup,Startup,Technology
Versicherungsmonitor,Köln,https://versicherungsmonitor.de/,@VMonitor,Startup,"Content, Funding, Business Model"
VICE Deutschland,Berlin,https://www.vice.com/de,@Vice_Germany,Startup,Content
Videovalis,Köln,https://www.videovalis.de/,@ReisenTV_VV,Project,"Technology, Business Model"
Vivoico,München,http://www.vivoico.de/,"@vivoico
@Manu_Geitner",Project,"Content, Business Model"
Vocer,Hamburg,https://www.vocer.org,@voiceofvocer,Project,Funding
Volker Matthies,München,https://netzwerk-medien-trainer.de/team/volker-matthies/,@VolkerMatthies,Individual (entrepreneur journalist),"Business Model, Technology"
Volker Stollorz,Köln,https://sciencemediacenter.de,"@Stollovo
@smc_germany","Individual (entrepreneur journalist, technologist)","Content, Business Model"
Vragments,Berlin,https://vragments.com,"@vragments
@Lynda420
@HelrenPDM",Startup,"Content, Technology"
Wafana,München,https://wafana.de/,"@wafana_de
@Johanna_Wild",Startup,Business Model
Webmag,"München, Berlin",https://webmag.io/,@webmag_io,Startup,Technology
Webtrekk,Berlin,https://www.webtrekk.com/,@webtrekk,Startup,Technology
What's hot,Düsseldorf,"https://videoguide-duesseldorf.de, 
https://www.journalismuslab.de/2018/07/19/hackathon-2018-team-whats-hot-im-interview/","@LauraRohrbeck
@Kleebart",Project,Technology
Wolfgang Büchner,Berlin,,@wbuechner,Individual (intrapreneur),Organizational Structure
Y-Kollektiv,Bremen,"http://sendefaehig.com/
https://www.youtube.com/channel/UCLoWcRy-ZjA-Erh0p_VDLjQ",@Y_Kollektiv,Project,"Content, Organizational Structure"
Yeebase,Hannover,"https://yeebase.com
https://t3n.de","@yeebase
@t3n",Startup,Content
Zaubar,Berlin,https://zaubar.com,"@zaubarApp
@AnneSophiePunkt
@StefanMarx",Startup,"Technology, Content"
Ze.tt,Hamburg,https://ze.tt/,@zett,Spin-off,Content
